,Date,Month,portfolio_value,period_return,RE_value,EME_value,GES_value,GE_value,SE_value,BOFC_value,BO_value,CA_value,RE_share,EME_share,GES_share,GE_share,SE_share,BOFC_share,BO_share,CA_share,RE_weight,EME_weight,GES_weight,GE_weight,SE_weight,BOFC_weight,BO_weight,CA_weight,CA,BO,BOFC,SE,GE,GES,EME,RE
177,1/31/2007,1,100000,0.0,22442.0,0.0,330.0,1980.0000000000002,11551.0,32343.0,31352.999999999996,0.0,105.95344884566356,0.0,1.3719131953105512,2.0774533359913545,1.595049835813847,257.2621699013681,315.01054958304024,0.0,0.22442,0.0,0.0033,0.0198,0.11551,0.32343,0.31353,0.0,113.5,99.53,125.72,7241.78,953.09,240.54,313.19,211.81
176,2/28/2007,2,99869.49,,22276.712619800765,0.0,332.38712895984037,1928.6453535342937,11124.579376893525,32662.005090677692,31545.15643524565,0.0,,,,,,,,,,,,,,,,,113.68,100.14,126.96,6974.44,928.37,242.28,311.33,210.25
175,3/30/2007,3,100574.35,,22813.896605448277,0.0,339.8228984784235,1962.8194609113516,11458.088347063844,32561.67284441616,31438.052848387415,0.0,,,,,,,,,,,,,,,,,113.88,99.8,126.57,7183.53,944.82,247.7,323.68,215.32
174,4/30/2007,4,101374.97,,22856.277984986544,0.0,350.31803442254926,2023.958912589577,12154.455204383454,32577.108574610244,31412.852004420773,0.0,,,,,,,,,,,,,,,,,114.09,99.72,126.63,7620.11,974.25,255.35,339.04,215.72
173,5/31/2007,5,100711.01,,22740.78872574477,0.0,358.7553005737091,2115.823899107115,12253.683254669433,32260.676105631563,30981.287551492005,0.0,,,,,,,,,,,,,,,,,114.31,98.35,125.4,7682.32,1018.47,261.5,355.5,214.63
172,6/29/2007,6,99494.72,,22332.867947688967,0.0,355.55874282863556,2100.9908822881366,11985.316119793753,32060.011613108494,30659.976790917306,0.0,,,,,,,,,,,,,,,,,114.53,97.33,124.62,7514.07,1011.33,259.17,372.16,210.78
171,7/31/2007,7,99290.93,,22283.092739233034,0.0,327.66333677688715,1965.980020661323,11469.209706393403,32113.985761742002,31130.995751411338,0.0,106.31246535893624,0.0,1.308664177557661,2.0250298923214154,1.5772477957431184,255.74568576683924,318.18270391875853,0.0,0.22442,0.0,0.0033,0.0198,0.11551,0.32343,0.31353,0.0,114.77,97.84,125.57,7271.66,970.84,250.38,391.8,209.6
170,8/31/2007,8,99647.37,,22137.44466169129,0.0,318.00539514651166,1972.784121099523,11405.788572526573,32405.535843516198,31407.81470382065,0.0,,,,,,,,,,,,,,,,,115.02,98.71,126.71,7231.45,974.2,243.0,383.47,208.23
169,9/28/2007,9,99802.02,,22097.045924854898,0.0,324.0252503632769,1998.6235025255442,11454.809434018269,32459.24243752724,31468.26941756522,0.0,,,,,,,,,,,,,,,,,115.28,98.9,126.92,7262.53,986.96,247.6,425.82,207.85
168,10/31/2007,10,99895.48,,21580.367343210466,0.0,339.65070064331536,2044.5309301844707,11627.691564909674,32653.609158710038,31649.633558798912,0.0,,,,,,,,,,,,,,,,,115.55,99.47,127.68,7372.14,1009.63,259.54,473.31,202.99
